6;Micro;0.38347471;b=b1 << 4;
7;Micro;0.32011482;b=b1 & 0x01;
8;Micro;0.13055467;b=bit(3);
9;Micro;0.13059465;b=bit(3)+bit(4)+bit(1);
10;Micro;41.40466690;l=l1/l2;
11;Micro;1.77343368;l=l1+l2;
12;Micro;6.13395404;l=l1*l2;
13;Micro;31.34093666;fl=fl1/fl2;
14;Micro;0.76247453;dbl=1.23;
15;Micro;26.38694381;dbl=dbl1/dbl2;
16;Micro;9.24643516;dbl=dbl1*dbl2;
17;Micro;7.94847488;dbl=dbl1+dbl2;
18;Micro;165.32986450;dbl=pow();
19;Micro;148.24172973;dbl=log(dbl2);
20;Micro;25.00760459;dbl=sqrt(dbl1);
21;Micro;134.25079345;dbl=tan(dbl1);
22;Micro;104.63201904;dbl=sin(dbl1);
23;Micro;6.32395648;digitalWrite(9,0);
24;Micro;6.45031356;digitalWrite(9,1);
25;Micro;0.12656666;PORTB=PORTB|2;
26;Micro;0.37953491;bool1=PORTB&4;
27;Micro;4.80332326;digitalRead();
28;Micro;110.80228424;analogRead();
29;Micro;92.81158447;b random();
30;Micro;92.33946990;l random();
31;Micro;0.72131419;b min();
32;Micro;1.01527476;if(dbl1<dbl2);;
33;Micro;0.25639452;if(b1<b2);;
34;Micro;1.14087426;abs(int);
35;Micro;1.22691488;constrain(int);
36;Micro;0.72139449;if(b1<b2)..;
37;Micro;0.25291869;fRetByte();
38;Micro;0.50584688;fRetInt();
39;Micro;1.01146650;fRetDbl();
40;Micro;4.31548690;fRetLong();
0;Micro;0.01327467;dummy;
1;Micro;5.43929481;b=b1/b2;
2;Micro;0.63609290;b=b1*b2;
3;Micro;0.44549331;b=b1+b2;
4;Micro;0.12981333;b=gl. var;
5;Micro;0.13053332;b=23;
6;Micro;0.38281343;b=b1 << 4;
7;Micro;0.32001349;b=b1 & 0x01;
8;Micro;0.13065327;b=bit(3);
9;Micro;0.13033330;b=bit(3)+bit(4)+bit(1);
10;Micro;41.10496139;l=l1/l2;
11;Micro;1.77373180;l=l1+l2;
